Brook Lopez,72,15.5,6.7,1.3,0.5,2.5
Kevin Huerter,68,15.4,3.4,3,1.1,0.3
Jaden Ivey,66,15.4,3.9,4.9,0.8,0.3
P.J. Washington,70,15.3,4.8,2.3,0.9,1.1
Harrison Barnes,74,15.1,4.6,1.6,0.7,0.1
Tobias Harris,69,15,5.8,2.5,0.9,0.6
Khris Middleton,29,14.9,4.2,5,0.8,0.2
Jakob Poeltl,18,14.9,9.4,2.4,1.4,1.6
Saddiq Bey,52,14.8,4.7,1.6,1,0.2
Devonte' Graham,15,14.8,2.6,4.4,0.7,0.3
Alperen Sengun,67,14.7,8.7,3.8,0.9,0.9
Malcolm Brogdon,61,14.5,4.2,3.6,0.6,0.3
Gordon Hayward,49,14.5,4.3,4.1,0.9,0.2
Jonas Valanciunas,71,14.4,9.9,1.7,0.3,0.6
Jarrett Allen,64,14.3,9.9,1.7,0.8,1.2
Collin Sexton,47,14.3,2.2,2.9,0.6,0.1
Dillon Brooks,66,14.2,3.3,2.5,0.9,0.2
Russell Westbrook,14,14.1,5,7.1,1.1,0.4
Bogdan Bogdanovic,48,14,3.1,2.8,0.8,0.4
Markelle Fultz,53,14,4.1,5.7,1.5,0.4
Tim Hardaway Jr.,65,14,3.6,1.8,0.7,0.2
Cameron Johnson,17,13.9,3.8,1.5,0.9,0.4
Luguentz Dort,67,13.8,4.4,2.2,1,0.3
Rudy Gobert,62,13.8,11.5,1.1,0.8,1.4
Trey Murphy III,71,13.8,3.6,1.4,1.1,0.5
Bobby Portis,63,13.7,9.5,1.6,0.4,0.2
Immanuel Quickley,74,13.7,4.1,3.2,0.9,0.2
Chris Paul,53,13.6,4.3,9.1,1.6,0.4
Malik Monk,71,13.5,2.6,3.9,0.6,0.3
Jalen Williams,68,13.5,4.5,3.2,1.3,0.5
Malik Beasley,55,13.4,3.6,1.7,0.8,0.1
Jusuf Nurkic,52,13.3,9.1,2.9,0.8,0.8
James Wiseman,16,13.3,8.7,0.6,0.2,0.9
Mike Conley,16,13.2,3.2,5.3,1.3,0.2
John Collins,64,13.1,6.5,1.2,0.6,1.1
Eric Gordon,47,13.1,2.1,2.9,0.6,0.4
Rui Hachimura,30,13,4.3,1.2,0.4,0.4
Dennis Schroder,60,12.9,2.5,4.6,0.8,0.1
Alec Burks,51,12.8,3.1,2.2,0.7,0.2
Cole Anthony,54,12.7,4.6,3.9,0.6,0.5
Nic Claxton,69,12.6,9.2,1.8,0.8,2.5
Kenyon Martin Jr.,74,12.6,5.5,1.5,0.5,0.4
Jabari Smith Jr.,71,12.6,7.1,1.2,0.5,0.9
Tre Jones,60,12.5,3.5,6.4,1.3,0.2
Jordan Nwora,17,12.4,4.4,2,0.6,0.3
Lonnie Walker IV,52,12.4,2.1,1.2,0.6,0.3
Jaden McDaniels,71,12.3,4,2,0.9,1
Kelly Olynyk,62,12.3,5.9,3.5,0.9,0.5
Austin Reaves,56,12.3,3,3.1,0.6,0.3
Derrick White,74,12.3,3.5,4,0.7,0.9
Mason Plumlee,56,12.2,9.6,3.7,0.6,0.6
Thomas Bryant,41,12.1,6.8,0.7,0.3,0.6
